Thu Oct 02 16:34:24 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
02-10-2025 16:43:31.444,883.31,14.50
02-10-2025 16:43:32.446,883.21,14.52
02-10-2025 16:43:33.448,883.22,14.53
02-10-2025 16:43:34.449,883.21,14.52
02-10-2025 16:43:35.450,883.43,14.51
02-10-2025 16:43:36.464,883.61,14.50
02-10-2025 16:43:37.464,883.51,14.47
02-10-2025 16:43:38.466,882.91,14.48
02-10-2025 16:43:39.468,883.19,14.48
02-10-2025 16:43:40.469,882.85,14.48
02-10-2025 16:43:41.470,882.67,14.49
02-10-2025 16:43:42.471,882.62,14.49
02-10-2025 16:43:43.472,882.48,14.48
02-10-2025 16:43:44.474,882.68,14.47
02-10-2025 16:43:45.476,882.23,14.46
02-10-2025 16:43:46.477,882.41,14.46
02-10-2025 16:43:47.489,881.72,14.46
02-10-2025 16:43:48.502,881.66,14.43
02-10-2025 16:43:49.513,882.00,14.42
02-10-2025 16:43:50.514,882.08,14.41
02-10-2025 16:43:51.516,881.66,14.41
02-10-2025 16:43:52.518,881.83,14.44
02-10-2025 16:43:53.519,881.61,14.44
02-10-2025 16:43:54.520,881.71,14.46
02-10-2025 16:43:55.523,881.88,14.45
02-10-2025 16:43:56.523,882.24,14.43
02-10-2025 16:43:57.525,881.93,14.42
02-10-2025 16:43:58.526,882.02,14.41
02-10-2025 16:43:59.527,881.53,14.41
02-10-2025 16:44:00.528,880.66,14.41
02-10-2025 16:44:01.529,880.48,14.42
02-10-2025 16:44:02.530,880.51,14.42
02-10-2025 16:44:03.531,880.42,14.41
02-10-2025 16:44:04.531,879.80,14.39
02-10-2025 16:44:05.537,880.19,14.38
02-10-2025 16:44:06.537,879.93,14.37
02-10-2025 16:44:07.543,879.78,14.36
02-10-2025 16:44:08.547,879.95,14.36
02-10-2025 16:44:09.549,880.15,14.38
02-10-2025 16:44:10.551,880.35,14.39
02-10-2025 16:44:11.554,880.38,14.40
